0;ALL;Albanischer Lek;135.25420
1;GBP;Britisches Pfund;0.87147
2;BGN;Bulgarischer Lew;1.95560
3;DKK;Daenische Krone;7.43415
4;ISK;Islaendische Krone;116.37980
5;HRK;Kroatische Kuna;7.42390
6;MDL;Moldauischer Leu;21.01996
7;NOK;Norwegische Krone;9.14190
8;PLN;Polnischer Zloty;4.32010
9;RON;Rumaenischer Leu;4.53980
10;RUB;Russischer Rubel;62.72670
11;SEK;Schwedische Krone;9.55104
12;CHF;Schweizer Franken;1.07195
13;RSD;Serbischer Dinar;124.05400
14;CZK;Tschechische Krone;27.02200
15;UAH;Ukrainische Hrywnja;28.54528
16;HUF;Ungarischer Forint;310.58330
17;BYN;Weissrussischer Rubel;2.03189